Log file open, 04/03/15 20:10:29
LogInit:Display: Running engine for game: Mayhem3d
LogInit: Version: 4.7.2-2467323+++depot+UE4-Releases+4.7
LogInit: API Version: 2455222
LogInit: Compiled (64-bit): Mar  2 2015 23:16:34
LogInit: Compiled with Visual C++: 18.00.21005.01
LogInit: Build Configuration: Development
LogInit: Branch Name: ++depot+UE4-Releases+4.7
LogInit: Command line:  
LogInit: Base directory: C:/Program Files/Epic Games/4.7/Engine/Binaries/Win64/
LogInit: Rocket: 1
[2015.04.03-07.10.29:187][  0]LogTaskGraph: Started task graph with 3 named threads and 6 total threads.
[2015.04.03-07.10.29:241][  0]LogOnline:Warning: No default platform service specified for OnlineSubsystem
[2015.04.03-07.10.29:253][  0]LogInit: Presizing for 0 objects not considered by GC, pre-allocating 0 bytes.
[2015.04.03-07.10.29:261][  0]LogInit: Object subsystem initialized
[2015.04.03-07.10.29:263][  0]LogInit: Selected Device Profile: [Windows]
[2015.04.03-07.10.29:263][  0]LogInit: Applying CVar settings loaded from the selected device profile: [Windows]
[2015.04.03-07.10.29:270][  0]LogInit: Computer: AORUS_X3
[2015.04.03-07.10.29:270][  0]LogInit: User: Mike
[2015.04.03-07.10.29:270][  0]LogInit: CPU Page size=4096, Cores=4
[2015.04.03-07.10.29:270][  0]LogInit: High frequency timer resolution =2.338348 MHz
[2015.04.03-07.10.29:270][  0]LogMemory: Memory total: Physical=15.9GB (16GB approx) Virtual=131072.0GB
[2015.04.03-07.10.29:270][  0]LogMemory: Platform Memory Stats for Windows
[2015.04.03-07.10.29:270][  0]LogMemory: Process Physical Memory: 45.80 MB used, 45.80 MB peak
[2015.04.03-07.10.29:270][  0]LogMemory: Process Virtual Memory: 24.41 MB used, 24.41 MB peak
[2015.04.03-07.10.29:270][  0]LogMemory: Physical Memory: 5336.05 MB used, 16301.10 MB total
[2015.04.03-07.10.29:270][  0]LogMemory: Virtual Memory: 298.58 MB used, 134217728.00 MB total
[2015.04.03-07.10.29:294][  0]LogD3D11RHI: Found D3D11 adapter 0: NVIDIA GeForce GTX 870M (Feature Level 11_0)
[2015.04.03-07.10.29:294][  0]LogD3D11RHI: Adapter has 6033MB of dedicated video memory, 0MB of dedicated system memory, and 8150MB of shared system memory, 1 output[s]
[2015.04.03-07.10.29:299][  0]LogD3D11RHI: Found D3D11 adapter 1: Intel(R) Iris(TM) Pro Graphics 5200 (Feature Level 11_0)
[2015.04.03-07.10.29:299][  0]LogD3D11RHI: Adapter has 0MB of dedicated video memory, 0MB of dedicated system memory, and 1792MB of shared system memory, 0 output[s]
[2015.04.03-07.10.29:300][  0]LogD3D11RHI: Found D3D11 adapter 2: Microsoft Basic Render Driver (Feature Level 11_0)
[2015.04.03-07.10.29:300][  0]LogD3D11RHI: Adapter has 0MB of dedicated video memory, 0MB of dedicated system memory, and 256MB of shared system memory, 0 output[s]
[2015.04.03-07.10.29:300][  0]LogD3D11RHI: Chosen D3D11 Adapter Id = 0
[2015.04.03-07.10.29:303][  0]LogRHI: Texture pool is 1361 MB (70% of 1945 MB)
[2015.04.03-07.10.29:310][  0]LogD3D11RHI: Async texture creation enabled
[2015.04.03-07.10.29:363][  0]LogTextLocalizationManager: The requested culture ('en_US') has no localization data; parent culture's ('en') localization data will be used.
[2015.04.03-07.10.29:481][  0]LogContentStreaming: Texture pool size is 0.000000MB
[2015.04.03-07.10.31:449][  0]LogTargetPlatformManager:Display: Building Assets For Windows
[2015.04.03-07.10.31:891][  0]LogTargetPlatformManager:Display: Building Assets For Windows
[2015.04.03-07.10.31:943][  0]LogDerivedDataCache:Display: Max Cache Size: 512 MB
[2015.04.03-07.10.31:981][  0]LogDerivedDataCache: Loaded boot cache 0.04s 39MB C:/Users/Mike/AppData/Local/UnrealEngine/4.7/DerivedDataCache/Boot.ddc.
[2015.04.03-07.10.31:981][  0]LogDerivedDataCache:Display: Loaded Boot cache: C:/Users/Mike/AppData/Local/UnrealEngine/4.7/DerivedDataCache/Boot.ddc
